generation,genome,fitness,complete_lines,aggregate_height,holes,bumpiness
4,95,66080,0.465,-0.736,-0.7,-0.427
4,96,66140,0.638,-0.396,-0.8,-0.189
4,97,66940,0.406,-0.919,-0.8,-0.387
4,98,67680,0.393,-0.811,-0.9,-0.395
4,99,73340,0.754,-0.114,-0.8,-0.131
4,100,74340,0.401,-0.823,-0.9,-0.397
5,1,1400,0.568,-0.531,-0.8,-0.298
5,2,2200,0.429,-0.941,-0.9,-0.455
5,3,9800,0.576,-0.435,-0.8,-0.207
5,4,31600,0.658,-0.4,-0.8,-0.185
5,5,36600,0.544,-0.537,-0.7,-0.259
5,6,45800,0.472,-0.871,-0.7,-0.266
5,7,49080,0.844,0.155,-0.8,-0.08
5,8,49280,0.633,-0.359,-0.8,-0.32
5,9,49340,0.658,-0.34,-0.5,-0.165
5,10,49480,0.394,-0.91,-0.8,-0.474
5,11,49480,0.701,0.116,-0.6,-0.184
5,12,49540,0.465,-0.736,-0.7,-0.427
5,13,49680,0.786,0.134,-0.8,-0.123
5,14,49680,0.828,0.091,-0.7,-0.128
5,15,49740,0.437,-0.882,-0.8,-0.504
5,16,49880,0.592,-0.414,-0.9,-0.319
5,17,50000,0.413,-0.873,-0.9,-0.397
5,18,50080,0.717,-0.19,-0.4,-0.092
5,19,50340,0.496,-0.618,-0.9,-0.352
5,20,50480,0.81,0.116,-0.8,-0.109
5,21,50880,0.453,-0.943,-0.9,-0.402
5,22,50880,0.795,0.137,-0.8,-0.092
5,23,50880,0.433,-0.874,-0.7,-0.319
5,24,50880,0.403,-0.861,-0.5,-0.498
5,25,50940,0.617,-0.411,-0.9,-0.264
5,26,51080,0.382,-0.9,-0.7,-0.562
5,27,51140,0.644,-0.376,-0.8,-0.186
5,28,51140,0.449,-0.853,-0.7,-0.372
5,29,51280,0.492,-0.661,-0.7,-0.435
5,30,51280,0.462,-0.899,-0.8,-0.391
5,31,51340,0.388,-0.534,-0.7,-0.406
5,32,51480,0.406,-0.94,-0.9,-0.508
5,33,51680,0.436,-0.837,-0.8,-0.467
5,34,51680,0.585,-0.44,-0.8,-0.252
5,35,51680,0.48,-0.659,-0.9,-0.335
5,36,51680,0.58,-0.441,-0.8,-0.294
5,37,51940,0.502,-0.658,-0.8,-0.402
5,38,52080,0.627,-0.348,-0.7,-0.171
5,39,52080,0.531,-0.648,-0.8,-0.288
5,40,52280,0.448,-0.811,-0.7,-0.498
5,41,52340,0.683,-0.257,-0.8,-0.214
5,42,52480,0.46,-0.827,-0.6,-0.25
5,43,52600,0.463,-0.781,-0.7,-0.339
5,44,52600,0.544,-0.537,-0.7,-0.259
5,45,52600,0.764,-0.03,-0.8,-0.18
5,46,52680,0.595,-0.502,-0.7,-0.243
5,47,52680,0.662,-0.356,-0.8,-0.23
5,48,53280,0.568,-0.531,-0.8,-0.298
5,49,53340,0.588,-0.38,-0.7,-0.331
5,50,53340,0.823,0.148,-0.8,-0.142
5,51,53480,0.599,-0.559,-0.6,-0.189
5,52,54200,0.443,-0.845,-0.7,-0.501
5,53,54480,0.393,-0.811,-0.9,-0.395
5,54,54480,0.611,-0.46,-0.8,-0.299
